TradeDate,Open,High,Low,ClosePrice,Volume,Ticker,Pct_Change,MA20,MA_Volume_30,RSI_14,Market_Regime
2025-01-02,40.1,40.2,39.95,40.0,3009900,VHM,0.0,40.7,5103243.33,40.22,SIDEWAY_NOISE
2025-01-02,40.1,40.2,39.95,40.0,3009900,VHM,0.0,40.7,5103243.33,40.22,SIDEWAY_NOISE
2025-01-02,40.1,40.2,39.95,40.0,3009900,VHM,0.0,40.7,5103243.33,40.22,SIDEWAY_NOISE
2025-01-03,40.05,40.05,39.75,40.0,4269100,VHM,0.0,40.64,4098716.67,40.22,SIDEWAY_NOISE
2025-01-03,40.05,40.05,39.75,40.0,4269100,VHM,0.0,40.64,4098716.67,40.22,SIDEWAY_NOISE
2025-01-03,40.05,40.05,39.75,40.0,4269100,VHM,0.0,40.64,4098716.67,40.22,SIDEWAY_NOISE
2025-01-06,40.0,40.0,39.75,40.0,3321300,VHM,0.0,40.56,3906373.33,40.22,SIDEWAY_NOISE
2025-01-06,40.0,40.0,39.75,40.0,3321300,VHM,0.0,40.56,3906373.33,40.22,SIDEWAY_NOISE
2025-01-06,40.0,40.0,39.75,40.0,3321300,VHM,0.0,40.56,3906373.33,40.22,SIDEWAY_NOISE
2025-01-07,39.85,40.05,39.85,40.0,2849700,VHM,0.0,40.49,3854656.67,40.22,SIDEWAY_NOISE
2025-01-07,39.85,40.05,39.85,40.0,2849700,VHM,0.0,40.49,3854656.67,40.22,SIDEWAY_NOISE
2025-01-07,39.85,40.05,39.85,40.0,2849700,VHM,0.0,40.49,3854656.67,40.22,SIDEWAY_NOISE
2025-01-08,40.0,40.05,39.7,40.0,2438700,VHM,0.0,40.44,3792963.33,40.22,SIDEWAY_NOISE
2025-01-08,40.0,40.05,39.7,40.0,2438700,VHM,0.0,40.44,3792963.33,40.22,SIDEWAY_NOISE
2025-01-08,40.0,40.05,39.7,40.0,2438700,VHM,0.0,40.44,3792963.33,40.22,SIDEWAY_NOISE
2025-01-09,40.0,41.05,40.0,40.4,4211400,VHM,1.0,40.42,3811663.33,47.13,SIDEWAY_NOISE
2025-01-09,40.0,41.05,40.0,40.4,4211400,VHM,1.0,40.42,3811663.33,47.13,SIDEWAY_NOISE
2025-01-09,40.0,41.05,40.0,40.4,4211400,VHM,1.0,40.42,3811663.33,47.13,SIDEWAY_NOISE
2025-01-10,40.4,40.7,39.9,40.0,2320000,VHM,-0.99,40.38,3671856.67,41.92,SIDEWAY_NOISE
2025-01-10,40.4,40.7,39.9,40.0,2320000,VHM,-0.99,40.38,3671856.67,41.92,SIDEWAY_NOISE
2025-01-10,40.4,40.7,39.9,40.0,2320000,VHM,-0.99,40.38,3671856.67,41.92,SIDEWAY_NOISE
2025-01-13,39.8,40.0,38.7,40.0,3978900,VHM,0.0,40.35,3620340.0,41.92,SIDEWAY_NOISE
2025-01-13,39.8,40.0,38.7,40.0,3978900,VHM,0.0,40.35,3620340.0,41.92,SIDEWAY_NOISE
2025-01-13,39.8,40.0,38.7,40.0,3978900,VHM,0.0,40.35,3620340.0,41.92,SIDEWAY_NOISE
2025-01-14,39.7,40.0,39.4,40.0,5407600,VHM,0.0,40.3,3674553.33,41.92,SIDEWAY_NOISE
2025-01-14,39.7,40.0,39.4,40.0,5407600,VHM,0.0,40.3,3674553.33,41.92,SIDEWAY_NOISE
2025-01-14,39.7,40.0,39.4,40.0,5407600,VHM,0.0,40.3,3674553.33,41.92,SIDEWAY_NOISE
2025-01-15,40.0,40.1,39.8,40.0,2707200,VHM,0.0,40.24,3591886.67,41.92,SIDEWAY_NOISE
2025-01-15,40.0,40.1,39.8,40.0,2707200,VHM,0.0,40.24,3591886.67,41.92,SIDEWAY_NOISE
2025-01-15,40.0,40.1,39.8,40.0,2707200,VHM,0.0,40.24,3591886.67,41.92,SIDEWAY_NOISE
2025-01-16,40.2,40.65,40.0,40.0,5138800,VHM,0.0,40.19,3590933.33,41.92,SIDEWAY_NOISE
2025-01-16,40.2,40.65,40.0,40.0,5138800,VHM,0.0,40.19,3590933.33,41.92,SIDEWAY_NOISE
2025-01-16,40.2,40.65,40.0,40.0,5138800,VHM,0.0,40.19,3590933.33,41.92,SIDEWAY_NOISE
2025-01-17,40.1,40.1,39.85,40.1,4153100,VHM,0.25,40.18,3567610.0,44.15,SIDEWAY_NOISE
2025-01-17,40.1,40.1,39.85,40.1,4153100,VHM,0.25,40.18,3567610.0,44.15,SIDEWAY_NOISE
2025-01-17,40.1,40.1,39.85,40.1,4153100,VHM,0.25,40.18,3567610.0,44.15,SIDEWAY_NOISE
2025-01-20,40.0,40.2,39.9,40.0,2996900,VHM,-0.25,40.17,3505173.33,42.39,SIDEWAY_NOISE
2025-01-20,40.0,40.2,39.9,40.0,2996900,VHM,-0.25,40.17,3505173.33,42.39,SIDEWAY_NOISE
2025-01-20,40.0,40.2,39.9,40.0,2996900,VHM,-0.25,40.17,3505173.33,42.39,SIDEWAY_NOISE
2025-01-21,40.0,40.15,39.8,40.0,4494600,VHM,0.0,40.14,3534356.67,42.39,SIDEWAY_DISTRIBUTION
2025-01-21,40.0,40.15,39.8,40.0,4494600,VHM,0.0,40.14,3534356.67,42.39,SIDEWAY_DISTRIBUTION
2025-01-21,40.0,40.15,39.8,40.0,4494600,VHM,0.0,40.14,3534356.67,42.39,SIDEWAY_DISTRIBUTION
2025-01-22,40.0,40.0,39.5,39.5,3640500,VHM,-1.25,40.1,3503063.33,34.44,SIDEWAY_NOISE
2025-01-22,40.0,40.0,39.5,39.5,3640500,VHM,-1.25,40.1,3503063.33,34.44,SIDEWAY_NOISE
2025-01-22,40.0,40.0,39.5,39.5,3640500,VHM,-1.25,40.1,3503063.33,34.44,SIDEWAY_NOISE
2025-01-23,39.55,39.95,39.25,39.5,4632800,VHM,0.0,40.04,3523470.0,34.44,SIDEWAY_NOISE
2025-01-23,39.55,39.95,39.25,39.5,4632800,VHM,0.0,40.04,3523470.0,34.44,SIDEWAY_NOISE
2025-01-23,39.55,39.95,39.25,39.5,4632800,VHM,0.0,40.04,3523470.0,34.44,SIDEWAY_NOISE
2025-01-24,39.5,39.8,39.4,39.5,4838500,VHM,0.0,39.98,3585260.0,34.44,SIDEWAY_NOISE
2025-01-24,39.5,39.8,39.4,39.5,4838500,VHM,0.0,39.98,3585260.0,34.44,SIDEWAY_NOISE
2025-01-24,39.5,39.8,39.4,39.5,4838500,VHM,0.0,39.98,3585260.0,34.44,SIDEWAY_NOISE
2025-02-03,39.55,39.55,38.85,39.0,4738800,VHM,-1.27,39.92,3638990.0,27.9,SIDEWAY_DISTRIBUTION
2025-02-03,39.55,39.55,38.85,39.0,4738800,VHM,-1.27,39.92,3638990.0,27.9,SIDEWAY_DISTRIBUTION
2025-02-03,39.55,39.55,38.85,39.0,4738800,VHM,-1.27,39.92,3638990.0,27.9,SIDEWAY_DISTRIBUTION
2025-02-04,38.95,39.15,38.55,38.75,6222400,VHM,-0.64,39.84,3757470.0,25.31,SIDEWAY_NOISE
2025-02-04,38.95,39.15,38.55,38.75,6222400,VHM,-0.64,39.84,3757470.0,25.31,SIDEWAY_NOISE
2025-02-04,38.95,39.15,38.55,38.75,6222400,VHM,-0.64,39.84,3757470.0,25.31,SIDEWAY_NOISE
2025-02-05,39.0,39.45,38.85,38.85,2719200,VHM,0.26,39.78,3724490.0,28.18,SIDEWAY_NOISE
2025-02-05,39.0,39.45,38.85,38.85,2719200,VHM,0.26,39.78,3724490.0,28.18,SIDEWAY_NOISE
2025-02-05,39.0,39.45,38.85,38.85,2719200,VHM,0.26,39.78,3724490.0,28.18,SIDEWAY_NOISE
2025-02-06,39.0,39.2,38.8,38.8,2817600,VHM,-0.13,39.72,3737346.67,27.61,SIDEWAY_NOISE
2025-02-06,39.0,39.2,38.8,38.8,2817600,VHM,-0.13,39.72,3737346.67,27.61,SIDEWAY_NOISE
2025-02-06,39.0,39.2,38.8,38.8,2817600,VHM,-0.13,39.72,3737346.67,27.61,SIDEWAY_NOISE
2025-02-07,38.85,39.05,38.75,38.75,3013800,VHM,-0.13,39.66,3646980.0,27.02,SIDEWAY_NOISE
2025-02-07,38.85,39.05,38.75,38.75,3013800,VHM,-0.13,39.66,3646980.0,27.02,SIDEWAY_NOISE
2025-02-07,38.85,39.05,38.75,38.75,3013800,VHM,-0.13,39.66,3646980.0,27.02,SIDEWAY_NOISE
2025-02-10,38.7,38.75,37.8,37.8,5850900,VHM,-2.45,39.55,3726166.67,18.8,PANIC
2025-02-10,38.7,38.75,37.8,37.8,5850900,VHM,-2.45,39.55,3726166.67,18.8,PANIC
2025-02-10,38.7,38.75,37.8,37.8,5850900,VHM,-2.45,39.55,3726166.67,18.8,PANIC
2025-02-11,37.85,37.9,37.6,37.75,5898800,VHM,-0.13,39.44,3856380.0,18.48,SIDEWAY_ACCUMULATION
2025-02-11,37.85,37.9,37.6,37.75,5898800,VHM,-0.13,39.44,3856380.0,18.48,SIDEWAY_ACCUMULATION
2025-02-11,37.85,37.9,37.6,37.75,5898800,VHM,-0.13,39.44,3856380.0,18.48,SIDEWAY_ACCUMULATION
2025-02-12,37.8,38.3,37.8,38.0,3808700,VHM,0.66,39.34,3876173.33,25.3,SIDEWAY_NOISE
2025-02-12,37.8,38.3,37.8,38.0,3808700,VHM,0.66,39.34,3876173.33,25.3,SIDEWAY_NOISE
2025-02-12,37.8,38.3,37.8,38.0,3808700,VHM,0.66,39.34,3876173.33,25.3,SIDEWAY_NOISE
2025-02-13,37.9,38.9,37.9,38.75,4922700,VHM,1.97,39.25,3921606.67,41.19,SIDEWAY_ACCUMULATION
